"Label (Grouping)","Alabama","Alaska","Arizona","Arkansas","California","Colorado","Connecticut","Delaware","District of Columbia","Florida","Georgia","Hawaii","Idaho","Illinois","Indiana","Iowa","Kansas","Kentucky","Louisiana","Maine","Maryland","Massachusetts","Michigan","Minnesota","Mississippi","Missouri","Montana","Nebraska","Nevada","New Hampshire","New Jersey","New Mexico","New York","North Carolina","North Dakota","Ohio","Oklahoma","Oregon","Pennsylvania","Rhode Island","South Carolina","South Dakota","Tennessee","Texas","Utah","Vermont","Virginia","Washington","West Virginia","Wisconsin","Wyoming","Puerto Rico"
"        30 to 34 years","95,613","15,886","124,103","63,598","551,136","152,716","69,577","17,241","20,686","343,356","173,081","11,075","45,375","253,277","160,249","80,398","68,990","113,414","84,840","37,255","97,954","160,229","224,184","140,870","47,318","148,973","28,122","48,531","50,145","36,850","150,662","33,187","376,979","201,607","21,211","275,095","79,547","106,942","295,579","24,160","96,474","21,555","158,334","492,131","85,748","17,697","167,436","176,816","45,159","142,089","15,385","14,390"
"        35 to 39 years","95,312","15,418","123,134","64,075","526,372","143,260","67,167","16,727","14,040","337,447","169,589","10,963","47,678","251,517","160,293","82,466","71,192","114,839","88,137","36,725","95,278","145,979","217,313","145,687","49,146","149,186","28,760","49,889","50,089","35,258","146,054","32,795","340,343","195,123","20,614","273,595","81,460","107,393","286,519","22,730","96,008","22,085","154,186","484,969","89,011","17,409","165,110","174,117","46,554","145,327","16,008","15,063"
"        40 to 44 years","93,142","12,903","115,755","61,109","469,220","127,050","64,643","15,658","8,340","317,555","163,865","9,146","45,095","234,514","153,797","77,138","63,918","113,748","78,678","34,826","84,666","134,470","206,813","130,583","47,410","136,558","26,070","44,870","45,588","33,010","142,741","28,836","307,033","190,586","17,274","260,519","74,004","99,025","266,855","21,304","91,745","20,303","148,153","440,116","85,849","16,383","152,761","155,870","49,205","135,767","14,320","16,465"
"        45 to 49 years","100,827","12,358","119,757","63,436","462,795","121,794","72,167","16,481","6,079","346,825","179,575","8,528","41,597","235,955","158,467","74,019","61,468","117,299","78,007","37,241","89,282","147,248","216,738","125,102","50,520","135,821","24,323","42,503","46,551","37,209","155,210","28,447","317,509","209,022","16,128","272,682","73,742","92,588","284,691","23,056","99,162","18,714","157,999","440,050","69,121","16,802","160,299","150,394","50,725","134,884","13,251","18,013"
"        50 to 54 years","105,999","12,845","129,104","65,154","516,509","123,792","89,775","19,948","5,460","398,101","189,536","9,149","41,935","259,983","166,465","80,089","64,467","122,888","84,480","42,953","105,783","176,497","245,712","142,098","52,487","144,978","25,900","43,418","50,237","44,021","185,129","31,209","372,132","222,599","16,995","297,334","75,563","95,737","327,311","28,481","106,487","19,732","165,253","444,019","60,748","19,377","175,735","162,176","52,825","155,509","13,330","20,643"
"        55 to 59 years","119,649","14,874","154,865","76,455","592,306","140,371","103,203","24,936","4,843","487,011","204,989","10,791","48,045","299,126","190,998","96,115","78,182","137,728","97,728","50,835","121,836","199,595","284,157","169,291","60,803","174,164","32,324","53,169","57,165","52,490","210,628","39,277","420,703","245,728","21,025","338,617","90,895","107,816","376,966","33,229","121,696","25,052","184,676","495,441","64,466","23,366","198,168","183,273","59,030","186,504","16,520","23,355"
"        60 and 61 years","48,615","6,329","67,338","30,522","245,161","58,595","42,267","10,642","1,897","206,849","81,049","5,085","20,193","123,287","77,923","40,311","32,976","55,333","40,517","21,357","48,970","80,944","118,169","70,171","25,159","71,350","14,557","22,274","23,790","21,518","85,586","17,500","173,597","99,680","9,217","141,458","38,300","47,010","159,576","13,614","49,962","10,807","73,896","202,709","26,933","9,633","79,054","76,419","25,248","76,473","7,297","10,017"
"        62 to 64 years","71,092","9,333","101,838","45,448","358,320","85,237","59,933","16,257","2,698","310,935","116,637","7,865","30,555","177,488","113,076","58,558","48,213","80,573","58,194","31,853","69,288","115,825","174,266","99,109","36,293","103,913","21,799","32,206","35,648","30,073","122,183","26,651","247,880","146,661","13,206","208,154","56,261","72,616","234,142","19,871","76,028","15,870","108,356","293,210","38,836","14,341","113,314","114,150","37,382","109,234","11,041","15,033"
"        65 and 66 years","46,040","5,913","70,004","29,787","233,141","54,758","36,976","10,619","1,761","209,363","74,824","5,532","20,059","110,630","71,219","37,235","30,972","51,439","37,576","20,335","43,554","72,735","109,159","61,725","23,919","65,679","14,506","20,901","24,031","18,780","75,337","17,924","156,763","95,404","8,381","130,723","36,363","49,970","148,133","12,618","50,243","10,172","69,704","187,851","25,099","9,244","71,948","75,497","24,139","69,219","7,119","9,965"
"        67 to 69 years","63,174","7,283","100,098","40,926","321,622","75,626","49,148","15,100","2,725","302,849","103,991","7,637","27,945","151,144","97,043","51,589","41,812","69,891","50,757","28,255","59,329","99,607","148,016","84,405","32,843","89,523","19,705","28,969","33,425","24,904","101,029","25,953","215,545","133,806","10,772","178,277","49,369","70,943","202,427","16,577","72,323","13,907","96,104","254,351","33,718","12,513","98,181","103,871","34,664","94,236","9,340","14,191"
"        70 to 74 years","97,352","9,147","158,875","63,252","485,672","104,635","72,881","22,535","4,508","487,626","160,232","11,216","39,592","215,800","139,213","71,577","57,958","101,321","74,100","40,338","87,377","147,029","207,714","116,064","49,993","129,589","26,674","39,143","51,777","35,834","151,304","37,422","322,638","203,202","14,280","256,416","72,644","101,665","293,048","24,057","110,635","18,513","144,867","371,575","47,194","17,646","149,272","149,270","49,761","130,502","12,466","23,551"
"        75 to 79 years","69,782","5,571","112,982","46,936","345,105","67,586","53,651","15,488","3,130","359,954","111,132","6,808","27,490","155,483","97,753","51,089","41,121","69,321","52,796","27,283","63,704","102,780","148,039","82,766","36,298","93,847","18,001","27,455","35,270","23,835","110,449","25,252","229,918","141,367","10,241","178,782","53,508","68,309","210,365","16,940","75,214","13,078","101,252","261,645","33,273","11,975","105,466","100,545","32,933","91,786","8,341","17,589"
"        80 to 84 years","47,709","3,041","69,683","30,960","235,674","43,260","36,853","9,572","1,722","233,810","71,103","3,633","17,270","110,324","66,865","38,544","28,889","45,879","35,695","18,039","42,234","70,352","100,234","58,731","25,423","63,411","11,807","20,076","20,678","15,058","77,575","15,899","165,190","91,504","7,886","126,180","36,506","42,395","149,759","11,648","45,583","9,539","66,718","172,128","21,990","7,517","68,872","63,362","22,860","64,551","5,450","11,893"
"        85 years and over","46,766","2,791","66,848","30,821","282,217","46,571","50,778","10,017","1,751","250,459","69,851","4,144","17,783","134,477","73,895","48,230","35,617","46,628","37,605","20,657","51,382","91,006","115,564","70,315","25,181","70,591","12,664","24,673","18,609","17,275","102,296","16,107","214,918","94,850","10,443","142,860","37,987","47,189","187,562","16,218","43,831","12,655","65,728","181,307","21,379","8,578","74,811","70,550","23,454","77,140","5,707","11,458"
