"Label (Grouping)","Alabama","Alaska","Arizona","Arkansas","California","Colorado","Connecticut","Delaware","District of Columbia","Florida","Georgia","Hawaii","Idaho","Illinois","Indiana","Iowa","Kansas","Kentucky","Louisiana","Maine","Maryland","Massachusetts","Michigan","Minnesota","Mississippi","Missouri","Montana","Nebraska","Nevada","New Hampshire","New Jersey","New Mexico","New York","North Carolina","North Dakota","Ohio","Oklahoma","Oregon","Pennsylvania","Rhode Island","South Carolina","South Dakota","Tennessee","Texas","Utah","Vermont","Virginia","Washington","West Virginia","Wisconsin","Wyoming","Puerto Rico"
"        35 to 39 years","149,359","28,305","225,588","94,212","1,397,773","217,892","109,701","29,591","29,749","650,336","340,811","48,458","59,445","426,229","214,222","102,766","97,446","140,851","154,012","40,529","203,574","220,221","304,173","198,472","88,878","196,736","35,605","66,755","108,569","41,595","300,115","67,485","657,626","320,295","28,289","361,621","133,446","150,297","399,792","34,433","151,886","29,947","216,601","1,014,833","116,138","19,523","283,586","285,188","53,719","190,419","19,995","91,668"
"        40 to 44 years","145,334","23,252","208,837","89,728","1,258,177","191,092","102,841","26,559","21,272","615,795","326,939","44,619","56,386","401,376","205,250","94,552","87,970","138,494","139,090","38,133","183,792","198,466","286,991","176,684","86,251","179,869","32,196","58,854","99,731","37,703","286,168","60,617","594,868","310,286","23,474","340,513","119,644","138,078","367,480","30,232","144,921","26,060","206,876","934,395","110,487","17,951","260,994","249,672","55,524","175,729","17,981","100,875"
"        45 to 49 years","151,946","21,673","206,512","88,851","1,217,684","182,034","106,082","26,861","17,434","642,629","338,274","43,226","51,878","394,071","205,146","88,549","82,263","140,084","130,080","40,191","180,458","203,173","298,815","163,995","86,142","175,924","29,626","54,982","98,153","41,517","287,736","57,484","580,744","325,142","20,901","347,791","113,814","130,163","377,142","30,672","150,177","23,438","212,408","906,701","90,183","18,621","262,001","233,057","57,402","170,489","16,497","104,093"
"        50 to 54 years","153,401","22,368","205,380","88,826","1,233,002","172,476","121,121","29,650","16,736","674,608","337,964","45,521","50,046","401,138","204,744","92,694","82,302","141,002","135,890","44,555","194,182","225,729","321,576","172,079","87,517","180,929","30,108","54,036","99,744","48,070","307,042","59,183","632,984","327,833","20,927","364,875","111,049","125,380","412,965","34,947","154,620","24,069","213,982","859,074","77,857","20,777","270,259","231,982","57,858","185,776","15,779","108,246"
"        55 to 59 years","165,902","25,150","215,595","97,088","1,234,728","176,499","130,651","33,389","17,336","736,911","339,001","47,810","53,293","421,299","221,061","103,359","93,085","150,844","149,288","51,307","207,070","242,246","349,508","193,136","95,948","206,630","35,710","61,160","100,163","55,069","320,586","68,523","666,274","335,839","24,390","396,851","123,285","128,629","450,630","37,984","166,248","28,541","224,187","861,042","76,279","23,760","286,499","240,011","61,759","209,830","18,378","110,053"
"        60 and 61 years","65,651","10,177","87,236","38,217","478,040","70,816","51,164","13,233","6,613","288,786","127,050","19,840","22,160","167,245","87,631","42,583","37,518","59,359","60,884","21,058","79,594","94,314","140,744","77,458","38,248","82,940","15,562","25,226","38,663","22,361","124,325","28,017","264,011","130,052","10,264","161,960","49,735","52,278","183,891","15,422","65,965","11,812","87,537","332,060","30,174","9,858","109,455","95,194","25,689","84,899","8,271","44,005"
"        62 to 64 years","94,232","13,993","124,801","54,033","656,912","100,176","70,936","19,469","8,971","409,398","174,401","28,147","32,248","233,037","124,957","60,938","53,926","83,896","85,706","30,831","108,627","130,445","203,176","107,577","54,880","116,488","23,138","35,428","54,658","31,426","168,990","40,250","361,012","183,830","14,504","233,274","69,884","78,298","265,062","21,903","95,397","17,202","124,084","454,443","43,124","14,541","152,428","136,897","38,104","119,592","12,392","62,539"
"        65 and 66 years","58,399","8,892","81,562","34,139","406,633","62,498","42,779","12,354","5,606","263,699","107,358","18,724","21,022","141,952","77,336","38,645","33,750","52,624","53,662","19,926","65,166","80,151","124,007","65,984","34,543","71,507","15,145","21,921","35,251","19,019","100,689","26,067","221,371","115,418","8,953","142,924","44,462","52,339","164,100","13,510","61,388","11,089","78,577","277,085","27,151","9,330","92,744","86,657","24,579","74,341","7,762","40,752"
"        67 to 69 years","77,522","11,058","113,513","46,196","523,093","84,109","54,445","16,965","7,185","366,618","139,674","25,451","29,159","184,932","100,981","52,397","44,830","69,757","69,885","26,770","84,961","105,993","164,850","87,484","45,343","94,329","21,451","29,357","46,634","24,848","128,909","35,406","287,932","156,015","11,986","189,838","57,964","73,409","218,068","17,282","85,408","14,987","104,171","359,501","35,356","12,478","121,847","115,737","33,833","99,543","10,489","55,235"
"        70 to 74 years","110,101","13,629","176,195","66,374","727,873","113,476","75,237","24,840","9,676","570,437","199,328","36,730","41,112","247,527","136,343","68,582","59,983","97,284","94,146","38,586","117,111","147,597","221,040","115,040","63,899","130,465","28,943","39,122","69,689","34,489","177,935","51,433","396,876","225,660","14,837","256,835","79,972","103,357","296,728","24,021","128,027","19,595","149,689","490,195","48,061","17,224","172,948","160,050","48,490","131,347","13,598","87,354"
"        75 to 79 years","70,663","7,601","120,456","44,166","469,870","68,273","51,177","16,437","6,452","404,094","125,439","22,986","27,166","161,130","88,210","44,629","38,218","61,091","58,438","24,550","76,387","95,677","143,912","75,517","39,659","87,820","18,615","24,989","45,329","22,000","117,801","32,155","256,499","145,264","9,548","162,242","53,565","66,161","192,568","15,287","82,163","12,250","97,171","311,478","31,634","11,005","112,977","102,395","29,901","83,936","8,613","62,700"
"        80 to 84 years","41,956","3,823","71,851","26,727","297,328","39,830","31,088","9,292","3,820","251,412","70,680","12,983","15,805","100,832","53,559","29,813","24,047","35,910","35,014","14,310","45,861","57,602","86,353","48,003","23,929","53,314","10,949","15,986","25,932","12,387","73,708","19,388","163,822","83,365","6,188","102,474","32,659","38,678","121,477","9,300","45,526","7,829","55,840","182,498","19,447","6,185","66,990","59,387","17,862","52,955","5,074","40,760"
"        85 years and over","30,841","2,577","54,326","19,581","272,299","32,408","30,373","7,221","3,611","208,377","50,579","13,331","12,080","88,034","43,459","26,489","21,929","26,467","26,840","12,130","39,259","54,479","74,145","42,622","17,336","43,898","8,539","14,562","17,366","10,710","67,493","15,375","151,790","62,869","6,140","87,423","25,859","31,643","110,402","9,030","32,352","7,224","40,439","145,637","16,198","5,237","53,499","49,154","13,326","45,378","3,701","32,186"
